Scientific_Name,Duration,Active_Growth_Period,Foliage_Color,pH_Min,pH_Max,Precip_Min,Precip_Max,Shade_Tolerance,Temp_Min_F
Iva,,,,,,,,,
Iva frutescens,Perennial,Spring and Summer,Green,5,5.7,35,65,Intolerant,2
Iva frutescens ssp. oraria,Perennial,,,,,,,,
Jaltomata,,,,,,,,,
Jaltomata procumbens,Perennial,,,,,,,,
Jasione,,,,,,,,,
Jasione montana,Perennial,,,,,,,,
Jasminum,,,,,,,,,
Jasminum nudiflorum,Perennial,,,,,,,,
Jeffersonia,,,,,,,,,
Jeffersonia diphylla,Perennial,,,,,,,,
Juglans,,,,,,,,,
Juglans cinerea,Perennial,Spring and Summer,Green,6,7,25,80,Intolerant,-33
Juglans nigra,Perennial,Spring,Green,4.6,8.2,30,60,Intolerant,-28
Juncus,,,,,,,,,
Juncus acuminatus,Perennial,Spring and Summer,Green,4.4,7.2,16,55,Intermediate,-33
Juncus anthelatus,Perennial,,,,,,,,
Juncus arcticus,Perennial,,,,,,,,
Juncus arcticus ssp. littoralis,Perennial,,,,,,,,
Juncus articulatus,Perennial,Spring and Summer,Green,4.8,7.5,18,40,Intermediate,-28
Juncus biflorus,Perennial,"Spring, Summer, Fall",Green,4.5,7,35,55,Tolerant,-18
Juncus brachycarpus,Perennial,Spring and Summer,Green,4.5,6.7,35,55,Intermediate,-23
Juncus brachycephalus,Perennial,"Spring, Summer, Fall",Green,5.9,7.1,35,55,Intermediate,-28
Juncus brevicaudatus,Perennial,,,,,,,,
Juncus bufonius,Annual,"Spring, Summer, Fall",Green,4.6,7.6,10,55,Intolerant,47
Juncus bufonius var. bufonius,Annual,,,,,,,,
Juncus caesariensis,Perennial,,,,,,,,
Juncus canadensis,Perennial,"Spring, Summer, Fall",Green,4.5,5.9,28,60,Intermediate,-33
Juncus compressus,Perennial,,,,,,,,
Juncus coriaceus,Perennial,,,,,,,,
Juncus debilis,"Annual, Perennial",,,,,,,,
Juncus dichotomus,Perennial,"Spring, Summer, Fall",Red,4.5,6.5,13,60,Intermediate,12
Juncus diffusissimus,Perennial,,,,,,,,
Juncus dudleyi,Perennial,,,,,,,,
Juncus effusus,Perennial,Spring,Dark Green,5.5,8.8,18,60,Intolerant,-38
Juncus effusus var. conglomeratus,Perennial,,,,,,,,
Juncus effusus var. pylaei,Perennial,,,,,,,,
Juncus effusus var. solutus,Perennial,,,,,,,,
Juncus elliottii,Perennial,,,,,,,,
Juncus elliottii var. elliottii,Perennial,,,,,,,,
Juncus filiformis,Perennial,,,,,,,,
Juncus gerardii,Perennial,,,,,,,,
Juncus gerardii var. gerardii,Perennial,,,,,,,,
Juncus longii,Perennial,,,,,,,,
Juncus marginatus,Perennial,Spring and Summer,Green,5.5,6.8,32,55,Intermediate,-23
Juncus megacephalus,Perennial,"Spring, Summer, Fall",Green,4.5,6.8,36,55,Tolerant,12
Juncus militaris,Perennial,,,,,,,,
Juncus pelocarpus,Perennial,,,,,,,,
Juncus polycephalos,Perennial,,,,,,,,
Juncus repens,"Annual, Perennial","Spring, Summer, Fall",Green,5.5,7,35,60,Intolerant,12
Juncus roemerianus,Perennial,Spring,Dark Green,4,7,40,60,Intolerant,17
Juncus scirpoides,Perennial,Spring and Summer,Green,5.6,6.8,36,55,Tolerant,-3
Juncus secundus,Perennial,"Spring, Summer, Fall",Green,4.9,6.8,32,55,Intolerant,-33
Juncus subcaudatus,Perennial,"Spring, Summer, Fall",Green,4.5,6,36,55,Tolerant,-8
Juncus subcaudatus var. subcaudatus,Perennial,,,,,,,,
Juncus tenuis,Perennial,Spring and Summer,Green,4.5,7,10,55,Intermediate,-38
Juncus torreyi,Perennial,Summer,Green,4.5,6.5,14,50,Intolerant,-38
Juncus trifidus,Perennial,,,,,,,,
Juncus validus,Perennial,"Spring, Summer, Fall",Green,5,6.8,32,55,Intermediate,-3
Juncus validus var. validus,Perennial,,,,,,,,
Juniperus,,,,,,,,,
Juniperus communis,Perennial,Spring and Summer,Green,5.5,8,20,60,Intolerant,-43
Juniperus communis var. depressa,Perennial,,,,,,,,
Juniperus virginiana,Perennial,Spring and Summer,Green,4.7,8,15,68,Intermediate,-43
Juniperus virginiana var. virginiana,Perennial,,,,,,,,
Justicia,,,,,,,,,
Justicia americana,Perennial,Spring,Dark Green,5.4,7.6,35,60,Tolerant,-28
Kallstroemia,,,,,,,,,
Kallstroemia parviflora,Annual,,,,,,,,
Kalmia,,,,,,,,,
Kalmia angustifolia,Perennial,,,,,,,,
Kalmia latifolia,Perennial,Spring and Summer,Green,4.5,5.5,32,60,Tolerant,-23
Kalopanax,,,,,,,,,
Kalopanax septemlobus,Perennial,,,,,,,,
Kickxia,,,,,,,,,
Kickxia elatine,Annual,,,,,,,,
Knautia,,,,,,,,,
Knautia arvensis,"Annual, Perennial",,,,,,,,
Koeleria,,,,,,,,,
Koeleria macrantha,Perennial,Spring and Fall,Green,6,8,14,20,Tolerant,-38
Koelreuteria,,,,,,,,,
Koelreuteria paniculata,Perennial,Spring,Green,4.5,8,26,50,Intolerant,-28
Kosteletzkya,,,,,,,,,
Kosteletzkya virginica,Perennial,,,,,,,,
Krigia,,,,,,,,,
Krigia biflora,Perennial,,,,,,,,
Krigia biflora var. biflora,Perennial,,,,,,,,
Krigia dandelion,Perennial,,,,,,,,
Krigia virginica,Annual,,,,,,,,
Kummerowia,,,,,,,,,
Kummerowia stipulacea,Annual,Spring and Summer,Green,5.5,7.5,30,65,Intolerant,6
Kummerowia striata,Annual,Spring and Summer,Green,4.9,7.3,30,65,Intolerant,8
Kyllinga,,,,,,,,,
Kyllinga brevifolia,Perennial,,,,,,,,
Kyllinga gracillima,Perennial,,,,,,,,
Kyllinga pumila,"Annual, Perennial",,,,,,,,
Lablab,,,,,,,,,
Lablab purpureus,Perennial,Year Round,Green,4.5,7.8,24,98,Intermediate,31
Lachnanthes,,,,,,,,,
Lachnanthes caroliana,Perennial,Summer,Gray-Green,4,7.4,30,55,Intolerant,13
Lactuca,,,,,,,,,
Lactuca biennis,"Annual, Biennial",,,,,,,,
Lactuca canadensis,"Annual, Biennial",,,,,,,,
Lactuca floridana,"Annual, Biennial",,,,,,,,
Lactuca floridana var. floridana,"Annual, Biennial",,,,,,,,
Lactuca floridana var. villosa,"Annual, Biennial",,,,,,,,
Lactuca hirsuta,Biennial,,,,,,,,
Lactuca hirsuta var. hirsuta,Biennial,,,,,,,,
Lactuca hirsuta var. sanguinea,Biennial,,,,,,,,
Lactuca saligna,"Annual, Biennial",,,,,,,,
Lactuca serriola,"Annual, Biennial",,,,,,,,
Lagerstroemia,,,,,,,,,
Lagerstroemia indica,Perennial,Spring,Green,5,7.5,32,50,Intolerant,-3
Lamium,,,,,,,,,
Lamium amplexicaule,"Annual, Biennial",,,,,,,,
Lamium maculatum,Perennial,,,,,,,,
Lamium purpureum,Annual,,,,,,,,
Lamium purpureum var. purpureum,Annual,,,,,,,,
Landoltia,,,,,,,,,
Landoltia punctata,Perennial,,,,,,,,
Laportea,,,,,,,,,
Laportea canadensis,Perennial,,,,,,,,
Lappula,,,,,,,,,
Lappula squarrosa,"Annual, Biennial",,,,,,,,
Lapsana,,,,,,,,,
Lapsana communis,Annual,,,,,,,,
Larix,,,,,,,,,
Larix decidua,Perennial,Spring and Summer,Yellow-Green,6,7,30,80,Intolerant,-38
Larix laricina,Perennial,Spring and Summer,Dark Green,5.5,6.5,7,55,Intolerant,-79
Lathyrus,,,,,,,,,
Lathyrus aphaca,Annual,,,,,,,,
Lathyrus hirsutus,Annual,"Fall, Winter and Spring",Yellow-Green,5.8,6.2,35,60,Intolerant,17
Lathyrus inconspicuus,Annual,,,,,,,,
Lathyrus latifolius,Perennial,,,,,,,,
Lathyrus palustris,Perennial,,,,,,,,
Lathyrus sativus,Annual,,,,,,,,
Lathyrus venosus,Perennial,,,,,,,,
Lecanora,,,,,,,,,
Lechea,,,,,,,,,
Lechea maritima,Perennial,,,,,,,,
Lechea maritima var. maritima,Perennial,,,,,,,,
Lechea maritima var. virginica,Perennial,,,,,,,,
Lechea minor,Perennial,,,,,,,,
Lechea mucronata,Perennial,,,,,,,,
Lechea pulchella,Perennial,,,,,,,,
Lechea pulchella var. moniliformis,Perennial,,,,,,,,
Lechea pulchella var. pulchella,Perennial,,,,,,,,
Lechea racemulosa,Perennial,,,,,,,,
Lechea tenuifolia,Perennial,,,,,,,,
Leersia,,,,,,,,,
Leersia hexandra,Perennial,,,,,,,,
Leersia lenticularis,Perennial,Spring,Green,5,8,25,60,Intolerant,-33
Leersia oryzoides,Perennial,Summer,Dark Green,5.1,8.8,12,50,Intolerant,-33
Leersia virginica,Perennial,Spring,Green,4.5,8.5,15,65,Tolerant,-43
Lemna,,,,,,,,,
Lemna minor,Perennial,Summer,Green,4.1,8.8,,,Intolerant,-38
Lemna obscura,Perennial,,,,,,,,
Lemna perpusilla,Perennial,,,,,,,,
Lemna trisulca,Perennial,Summer,Green,5.7,7,,,Intolerant,-38
Lemna valdiviana,Perennial,Summer and Fall,Green,5.7,7,,,Intolerant,-33
Lens,,,,,,,,,
Lens culinaris,Annual,,,,,,,,
Leontodon,,,,,,,,,
Leontodon autumnalis,Perennial,,,,,,,,
Leontodon autumnalis ssp. autumnalis,Perennial,,,,,,,,
Leontodon autumnalis ssp. pratensis,Perennial,,,,,,,,
Leontodon hispidus,Perennial,,,,,,,,
Leontodon hispidus ssp. hispidus,Perennial,,,,,,,,
Leontodon taraxacoides,"Annual, Biennial, Perennial",,,,,,,,
Leontodon taraxacoides ssp. taraxacoides,"Biennial, Perennial",,,,,,,,
Leonurus,,,,,,,,,
Leonurus cardiaca,Perennial,,,,,,,,
Leonurus cardiaca ssp. cardiaca,Perennial,,,,,,,,
Lepidium,,,,,,,,,
Lepidium campestre,"Annual, Biennial",,,,,,,,
Lepidium densiflorum,"Annual, Biennial",,,,,,,,
Lepidium graminifolium,Annual,,,,,,,,
Lepidium hyssopifolium,Perennial,,,,,,,,
Lepidium perfoliatum,"Annual, Biennial",,,,,,,,
Lepidium ruderale,"Annual, Biennial",,,,,,,,
Lepidium virginicum,"Annual, Biennial, Perennial",,,,,,,,
Lepidium virginicum var. virginicum,"Annual, Biennial, Perennial",,,,,,,,
Leptochloa,,,,,,,,,
Leptochloa dubia,Perennial,Spring and Summer,Green,6,8,12,24,Intolerant,-13
Leptochloa fusca,"Annual, Perennial",,,,,,,,
Leptochloa fusca ssp. fascicularis,Annual,Spring,Green,4,7.5,15,65,Intolerant,-43
Lespedeza,,,,,,,,,
Lespedeza angustifolia,Perennial,,,,,,,,
Lespedeza bicolor,Perennial,,,,,,,,
Lespedeza ?brittonii,Perennial,,,,,,,,
Lespedeza capitata,Perennial,Summer,Green,5.7,8.2,19,45,Intolerant,-28
Lespedeza cuneata,Perennial,,,,,,,,
Lespedeza frutescens,Perennial,,,,,,,,
Lespedeza hirta,Perennial,Summer,Dark Green,5.8,6.9,30,60,Intolerant,-13
Lespedeza hirta ssp. hirta,Perennial,,,,,,,,
Lespedeza ?nuttallii,Perennial,,,,,,,,
Lespedeza ?oblongifolia,Perennial,,,,,,,,
Lespedeza procumbens,Perennial,,,,,,,,
Lespedeza repens,Perennial,,,,,,,,
Lespedeza stuevei,Perennial,,,,,,,,
Lespedeza thunbergii,Perennial,,,,,,,,
Lespedeza violacea,Perennial,,,,,,,,
Lespedeza virginica,Perennial,,,,,,,,
Leucanthemum,,,,,,,,,
Leucanthemum vulgare,Perennial,Spring and Summer,Green,5.2,7,30,50,Intermediate,-28
Leucojum,,,,,,,,,
Leucojum aestivum,Perennial,,,,,,,,
Leucojum aestivum ssp. aestivum,Perennial,,,,,,,,
Leucothoe,,,,,,,,,
Leucothoe fontanesiana,Perennial,,,,,,,,
Liatris,,,,,,,,,
Liatris pilosa,Perennial,,,,,,,,
Liatris scariosa,Perennial,,,,,,,,
Liatris scariosa var. scariosa,Perennial,,,,,,,,
Liatris spicata,Perennial,Summer,Green,5.6,7.5,35,60,Intermediate,-18
Liatris spicata var. spicata,Perennial,,,,,,,,
Liatris squarrosa,Perennial,,,,,,,,
Liatris squarrosa var. squarrosa,Perennial,,,,,,,,
Liatris turgida,Perennial,,,,,,,,
Liatris virgata,Perennial,,,,,,,,
Ligularia,,,,,,,,,
Ligularia dentata,Perennial,,,,,,,,
Ligusticum,,,,,,,,,
Ligusticum canadense,Perennial,,,,,,,,
Ligustrum,,,,,,,,,
Ligustrum amurense,Perennial,Spring,Green,5.8,7.5,34,70,Intermediate,-38
Ligustrum japonicum,Perennial,Spring and Summer,Dark Green,5.5,6.9,30,80,Tolerant,-13
Ligustrum lucidum,Perennial,,,,,,,,
Ligustrum obtusifolium,Perennial,,,,,,,,
Ligustrum ovalifolium,Perennial,Spring and Summer,Green,5.9,7.7,34,70,Intolerant,-3
Ligustrum quihoui,Perennial,,,,,,,,
Ligustrum sinense,Perennial,,,,,,,,
Ligustrum vulgare,Perennial,Spring and Summer,Green,5,7.5,18,50,Intermediate,-38
Lilaeopsis,,,,,,,,,
Lilaeopsis chinensis,Perennial,,,,,,,,
Lilium,,,,,,,,,
Lilium canadense,Perennial,,,,,,,,
Lilium canadense ssp. canadense,Perennial,,,,,,,,
Lilium canadense ssp. editorum,Perennial,,,,,,,,
Lilium lancifolium,Perennial,,,,,,,,
Lilium philadelphicum,Perennial,,,,,,,,
Lilium philadelphicum var. philadelphicum,Perennial,,,,,,,,
Lilium superbum,Perennial,,,,,,,,
Limnobium,,,,,,,,,
Limnobium spongia,Perennial,Spring,Green,5,5.9,35,60,Intolerant,-24
Limonium,,,,,,,,,
Limonium carolinianum,Perennial,Spring,Green,6,8.5,40,55,Intolerant,-8
Limosella,,,,,,,,,
Limosella australis,Annual,,,,,,,,
Linanthus,,,,,,,,,
Linanthus pungens,Perennial,,,,,,,,
Linaria,,,,,,,,,
Linaria vulgaris,Perennial,,,,,,,,
Lindera,,,,,,,,,
Lindera benzoin,Perennial,Spring and Summer,Green,4.5,6,32,50,Intermediate,-23
Lindera benzoin var. benzoin,Perennial,,,,,,,,
Lindera benzoin var. pubescens,Perennial,,,,,,,,
Lindernia,,,,,,,,,
Lindernia dubia,"Annual, Biennial",,,,,,,,
Lindernia dubia var. anagallidea,"Annual, Biennial",,,,,,,,
Lindernia dubia var. dubia,"Annual, Biennial",,,,,,,,
Linnaea,,,,,,,,,
Linnaea borealis,Perennial,,,,,,,,
Linnaea borealis ssp. americana,Perennial,,,,,,,,
Linum,,,,,,,,,
Linum floridanum,Perennial,,,,,,,,
Linum floridanum var. floridanum,Perennial,,,,,,,,
Linum intercursum,Perennial,,,,,,,,
Linum medium,"Annual, Perennial",,,,,,,,
Linum medium var. texanum,"Annual, Perennial",,,,,,,,
Linum striatum,Perennial,Spring,Green,5,8,21,60,Tolerant,-43
Linum sulcatum,Annual,,,,,,,,
Linum sulcatum var. sulcatum,Annual,,,,,,,,
Linum usitatissimum,Annual,,,,,,,,
Linum virginianum,Perennial,,,,,,,,
Liparis,,,,,,,,,
Liparis liliifolia,Perennial,,,,,,,,
Liparis loeselii,Perennial,,,,,,,,
Lipocarpha,,,,,,,,,
Lipocarpha micrantha,Annual,,,,,,,,
Liquidambar,,,,,,,,,
Liquidambar styraciflua,Perennial,Spring and Summer,Green,4.5,7,40,60,Intolerant,-21
Liriodendron,,,,,,,,,
Liriodendron tulipifera,Perennial,Spring and Summer,Green,4.5,6.5,30,80,Intolerant,-18
Liriope,,,,,,,,,
Liriope muscari,Perennial,Spring and Summer,Green,5,8,26,60,Tolerant,-23
Liriope spicata,Perennial,,,,,,,,
Listera,,,,,,,,,
Listera australis,Perennial,,,,,,,,
Listera cordata,Perennial,,,,,,,,
Listera cordata var. cordata,Perennial,,,,,,,,
Listera smallii,Perennial,,,,,,,,
Lithospermum,,,,,,,,,
Lithospermum canescens,Perennial,,,,,,,,
Lithospermum latifolium,Perennial,,,,,,,,
Litsea,,,,,,,,,
Litsea aestivalis,Perennial,,,,,,,,
Lobelia,,,,,,,,,
Lobelia canbyi,Perennial,,,,,,,,
Lobelia cardinalis,Perennial,Spring,Green,5.8,7.8,28,60,Tolerant,-34
Lobelia dortmanna,Perennial,,,,,,,,
Lobelia elongata,Perennial,,,,,,,,
Lobelia glandulosa,Perennial,,,,,,,,
Lobelia inflata,Annual,,,,,,,,
Lobelia nuttallii,Perennial,,,,,,,,
Lobelia puberula,Perennial,,,,,,,,
Lobelia puberula var. puberula,Perennial,,,,,,,,
Lobelia puberula var. simulans,Perennial,,,,,,,,
Lobelia siphilitica,Perennial,,,,,,,,
Lobelia siphilitica var. siphilitica,Perennial,,,,,,,,
Lobelia spicata,Perennial,,,,,,,,
Lobelia spicata var. campanulata,Perennial,,,,,,,,
Lobelia spicata var. scaposa,Perennial,,,,,,,,
Lobelia spicata var. spicata,Perennial,,,,,,,,
Lobularia,,,,,,,,,
Lobularia maritima,"Annual, Perennial",,,,,,,,
Lolium,,,,,,,,,
Lolium perenne,"Perennial, Annual",Spring and Fall,Green,5,8,30,65,Intolerant,-18
Lolium perenne ssp. multiflorum,"Annual, Perennial",Spring and Summer,Green,5,7.9,18,65,Intermediate,-8
Lolium perenne ssp. perenne,Perennial,,,,,,,,
Lolium temulentum,Annual,,,,,,,,
Lolium temulentum ssp. temulentum,Annual,,,,,,,,
Lonicera,,,,,,,,,
Lonicera ?bella,Perennial,,,,,,,,
Lonicera canadensis,Perennial,,,,,,,,
Lonicera dioica,Perennial,,,,,,,,
Lonicera fragrantissima,Perennial,,,,,,,,
Lonicera japonica,Perennial,Spring and Summer,Green,4.9,7.8,24,60,Tolerant,-13
Lonicera maackii,Perennial,Spring and Summer,Green,5.5,8,25,60,Intolerant,-33
Lonicera morrowii,Perennial,,,,,,,,
Lonicera sempervirens,Perennial,Spring,Green,6,8.5,22,60,Tolerant,-33
Lonicera standishii,Perennial,,,,,,,,
Lonicera tatarica,Perennial,Spring and Summer,Green,5.2,7.5,32,50,Intermediate,-38
Lonicera xylosteum,Perennial,,,,,,,,
Lotus,,,,,,,,,
Lotus corniculatus,Perennial,Spring and Summer,Green,5,8,16,65,Intolerant,-43
Lotus corniculatus var. corniculatus,Perennial,,,,,,,,
Lotus glaber,Perennial,,,,,,,,
Ludwigia,,,,,,,,,
Ludwigia alternifolia,Perennial,,,,,,,,
Ludwigia brevipes,Perennial,,,,,,,,
Ludwigia decurrens,"Annual, Perennial",Summer,Green,4,6,28,55,Tolerant,7
Ludwigia glandulosa,Perennial,,,,,,,,
Ludwigia glandulosa ssp. glandulosa,Perennial,,,,,,,,
Ludwigia hirtella,Perennial,,,,,,,,
Ludwigia leptocarpa,"Annual, Perennial",,,,,,,,
Ludwigia linearis,Perennial,,,,,,,,
Ludwigia palustris,Perennial,Summer,Gray-Green,5,8.5,25,60,Intolerant,-34
Ludwigia peploides,Perennial,,,,,,,,
Ludwigia peploides ssp. glabrescens,Perennial,,,,,,,,
Ludwigia sphaerocarpa,Perennial,,,,,,,,
Lunaria,,,,,,,,,
Lunaria annua,"Annual, Biennial",,,,,,,,
Lunaria rediviva,Perennial,,,,,,,,
Lupinus,,,,,,,,,
Lupinus perennis,Perennial,,,,,,,,
Lupinus perennis ssp. perennis,Perennial,,,,,,,,
Lupinus perennis ssp. perennis var. occidentalis,Perennial,,,,,,,,
Lupinus perennis ssp. perennis var. perennis,Perennial,,,,,,,,
Lupinus polyphyllus,Perennial,,,,,,,,
Lupinus polyphyllus ssp. polyphyllus,Perennial,,,,,,,,
Lupinus polyphyllus ssp. polyphyllus var. polyphyllus,Perennial,,,,,,,,
Luzula,,,,,,,,,
Luzula acuminata,Perennial,,,,,,,,
Luzula acuminata ssp. acuminata,Perennial,,,,,,,,
Luzula acuminata ssp. carolinae,Perennial,,,,,,,,
Luzula bulbosa,Perennial,,,,,,,,
Luzula echinata,Perennial,,,,,,,,
Luzula multiflora,Perennial,,,,,,,,
Luzula multiflora ssp. multiflora,Perennial,,,,,,,,
Luzula multiflora ssp. multiflora var. multiflora,Perennial,,,,,,,,
Lychnis,,,,,,,,,
Lychnis coronaria,Perennial,,,,,,,,
Lychnis flos-cuculi,Perennial,,,,,,,,
Lycium,,,,,,,,,
Lycium barbarum,Perennial,,,,,,,,
Lycium chinense,Perennial,,,,,,,,
Lycopodiella,,,,,,,,,
Lycopodiella alopecuroides,Perennial,,,,,,,,
Lycopodiella appressa,Perennial,,,,,,,,
Lycopodiella caroliniana,Perennial,,,,,,,,
Lycopodiella caroliniana var. caroliniana,Perennial,,,,,,,,
Lycopodiella ?copelandii,Perennial,,,,,,,,
Lycopodiella inundata,Perennial,,,,,,,,
Lycopodium,,,,,,,,,
Lycopodium annotinum,Perennial,"Spring, Summer, Fall",Green,4,5.3,32,60,Tolerant,-43
Lycopodium clavatum,Perennial,,,,,,,,
Lycopodium dendroideum,Perennial,,,,,,,,
Lycopodium digitatum,Perennial,,,,,,,,
Lycopodium hickeyi,Perennial,,,,,,,,
Lycopodium obscurum,Perennial,,,,,,,,
Lycopodium tristachyum,Perennial,,,,,,,,
Lycopus,,,,,,,,,
Lycopus americanus,Perennial,Summer and Fall,Green,5.2,7.8,12,60,Tolerant,-38
Lycopus amplectens,Perennial,,,,,,,,
Lycopus europaeus,Perennial,,,,,,,,
Lycopus rubellus,Perennial,Summer and Fall,Green,5.2,7.2,30,60,Tolerant,-23
Lycopus ?sherardii,Perennial,,,,,,,,
Lycopus uniflorus,Perennial,,,,,,,,
Lycopus uniflorus var. uniflorus,Perennial,,,,,,,,
Lycopus virginicus,Perennial,Spring and Summer,Dark Green,5,6.3,35,80,Tolerant,-33
Lygodium,,,,,,,,,
Lygodium palmatum,Perennial,,,,,,,,
Lyonia,,,,,,,,,
Lyonia ligustrina,Perennial,,Green,5,6.5,39,80,Tolerant,-21
Lyonia ligustrina var. ligustrina,Perennial,,,,,,,,
Lyonia mariana,Perennial,,,,,,,,
Lysimachia,,,,,,,,,
Lysimachia ciliata,Perennial,,,,,,,,
Lysimachia hybrida,Perennial,,,,,,,,
Lysimachia japonica,Perennial,,,,,,,,
Lysimachia lanceolata,Perennial,Spring and Summer,Green,5,7,32,55,Tolerant,-23
Lysimachia nummularia,Perennial,,,,,,,,
Lysimachia ?producta,Perennial,,,,,,,,
Lysimachia punctata,Perennial,,,,,,,,
Lysimachia quadriflora,Perennial,,,,,,,,
Lysimachia quadrifolia,Perennial,,,,,,,,
Lysimachia terrestris,Perennial,,,,,,,,
Lysimachia thyrsiflora,Perennial,Spring and Summer,Green,4.8,7.2,16,55,Intermediate,-33
Lysimachia vulgaris,Perennial,,,,,,,,
Lythrum,,,,,,,,,
Lythrum alatum,Perennial,,,,,,,,
Lythrum alatum var. alatum,Perennial,,,,,,,,
Lythrum lineare,Perennial,,,,,,,,
Lythrum salicaria,Perennial,,,,,,,,
Macleaya,,,,,,,,,
Macleaya cordata,Perennial,,,,,,,,
Maclura,,,,,,,,,
Maclura pomifera,Perennial,Spring and Summer,Green,4.5,7.5,24,40,Intolerant,-23
Madia,,,,,,,,,
Madia sativa,Annual,,,,,,,,
Magnolia,,,,,,,,,
Magnolia acuminata,Perennial,Spring and Summer,Green,5.2,7,35,60,Intermediate,-16
Magnolia grandiflora,Perennial,Spring and Summer,Green,4.5,6.5,35,60,Tolerant,7
Magnolia macrophylla,Perennial,,,,,,,,
Magnolia tripetala,Perennial,Spring,Green,5,7.5,40,60,Tolerant,-3
Magnolia virginiana,Perennial,Spring and Summer,Dark Green,5,6.9,40,80,Intermediate,17
Mahonia,,,,,,,,,
Mahonia bealei,Perennial,,,,,,,,
Maianthemum,,,,,,,,,
Maianthemum canadense,Perennial,,,,,,,,
Maianthemum racemosum,Perennial,,,,,,,,
Maianthemum racemosum ssp. racemosum,Perennial,,,,,,,,
Maianthemum stellatum,Perennial,,,,,,,,
Malaxis,,,,,,,,,
Malaxis unifolia,Perennial,,,,,,,,
Malus,,,,,,,,,
Malus angustifolia,Perennial,,,,,,,,
Malus angustifolia var. angustifolia,Perennial,,,,,,,,
Malus coronaria,Perennial,,,,,,,,
Malus ?platycarpa,Perennial,,,,,,,,
Malus pumila,Perennial,,,,,,,,
Malus toringo,Perennial,,,,,,,,
Malva,,,,,,,,,
Malva moschata,Perennial,,,,,,,,
Malva neglecta,"Annual, Biennial, Perennial",,,,,,,,
Malva parviflora,"Annual, Biennial, Perennial",,,,,,,,
Malva pusilla,"Annual, Biennial",,,,,,,,
Malva sylvestris,"Annual, Biennial, Perennial",,,,,,,,
Malva verticillata,Annual,,,,,,,,
Manfreda,,,,,,,,,
Manfreda virginica,Perennial,,,,,,,,
Marrubium,,,,,,,,,
Marrubium vulgare,Perennial,,,,,,,,
Marshallia,,,,,,,,,
Marshallia grandiflora,Perennial,,,,,,,,
Marsilea,,,,,,,,,
Marsilea quadrifolia,Perennial,,,,,,,,
Matelea,,,,,,,,,
Matelea carolinensis,Perennial,,,,,,,,
Matelea decipiens,Perennial,,,,,,,,
Matelea gonocarpos,Perennial,,,,,,,,
Matelea obliqua,Perennial,,,,,,,,
Matricaria,,,,,,,,,
Matricaria discoidea,Annual,,,,,,,,
Matricaria recutita,Annual,,,,,,,,
Matteuccia,,,,,,,,,
Matteuccia struthiopteris,Perennial,,,,,,,,
Maurandella,,,,,,,,,
Maurandella antirrhiniflora,Perennial,Spring,Green,6.8,9,8,18,Intolerant,-8
Mazus,,,,,,,,,
Mazus pumilus,Annual,,,,,,,,
Mecardonia,,,,,,,,,
Mecardonia acuminata,Perennial,,,,,,,,
Mecardonia acuminata var. acuminata,Perennial,,,,,,,,
Medeola,,,,,,,,,
Medeola virginiana,Perennial,,,,,,,,
Medicago,,,,,,,,,
Medicago heldreichii,Annual,,,,,,,,
Medicago lupulina,"Annual, Perennial","Fall, Winter and Spring",Dark Green,5.5,8,13,60,Intolerant,23
Medicago minima,Annual,,,,,,,,
Medicago monspeliaca,Annual,,,,,,,,
Medicago orbicularis,Annual,,,,,,,,
Medicago sativa,"Annual, Perennial","Spring, Summer, Fall",Green,6,8.5,12,65,Intolerant,-43
Medicago sativa ssp. falcata,"Annual, Perennial",,,,,,,,
Medicago sativa ssp. sativa,"Annual, Perennial",,,,,,,,
Medicago scutellata,Annual,"Fall, Winter and Spring",Dark Green,5.9,7.5,18,50,Intolerant,32
Melampodium,,,,,,,,,
Melampodium sericeum,Annual,,,,,,,,
Melampyrum,,,,,,,,,
Melampyrum lineare,Annual,,,,,,,,
Melampyrum lineare var. latifolium,Annual,,,,,,,,
Melampyrum lineare var. lineare,Annual,,,,,,,,
Melampyrum lineare var. pectinatum,Annual,,,,,,,,
Melica,,,,,,,,,
Melica mutica,Perennial,,,,,,,,
Melica nitens,Perennial,,,,,,,,
Melilotus,,,,,,,,,
Melilotus officinalis,"Annual, Biennial, Perennial",Spring and Summer,Green,6.5,8.2,17,65,Intolerant,-38
Melinis,,,,,,,,,
Melinis repens,"Annual, Perennial",,,,,,,,
Melissa,,,,,,,,,
Melissa officinalis,Perennial,,,,,,,,
Melochia,,,,,,,,,
Melochia corchorifolia,Annual,,,,,,,,
Melothria,,,,,,,,,
Melothria pendula,Perennial,,,,,,,,
Melothria pendula var. pendula,Perennial,,,,,,,,
Menispermum,,,,,,,,,
Menispermum canadense,Perennial,,,,,,,,
Mentha,,,,,,,,,
Mentha aquatica,Perennial,,,,,,,,
Mentha arvensis,Perennial,Spring,Green,5,7,20,50,Intermediate,-33
Mentha ?gracilis,Perennial,,,,,,,,
Mentha ?piperita,Perennial,,,,,,,,
Mentha pulegium,Perennial,,,,,,,,
Mentha ?rotundifolia,Perennial,,,,,,,,
Mentha spicata,Perennial,,,,,,,,
Menyanthes,,,,,,,,,
Menyanthes trifoliata,Perennial,Spring and Summer,Green,4.8,6.5,12,55,Intermediate,-33
